education_id,profile_id,college,degree,field
196,154,Kongu Engineering College,BE,Electronics and Instrumentation Engineering
197,154,Little Angels Higher Secondary school,HSC  ·,
198,154,Bharathi Vidhyalaya Matric Hr.Sec School,SSLC  ·,
199,155,SRM University,BTech,Information Technology
200,156,East West Institute Of Technology,BE,Electronics and Communications Engineering
201,157,BITS Pilani Work Integrated Learning Programmes,MTech,"Software Engineering  (July 2022 - August 2024) Prof. Ram Meghe Institute of Technology & Research Badnera Rly. Bachelor of Engineering - BE, Information Technology"
202,157,Amravati University,BE,Information Technology
203,158,"Birla Institute of Technology and Science, Pilani",BE,
204,159,Ramaiah Institute Of Technology,BE,Computer Science
205,159,"Vikas Vidyaniketan, Vishakhapatnam",·,
206,159,"Delhi Public School, Durg",·,
207,160,BMS Institute of Technology,BTech,Computer science engineering
208,161,Page 2 of,BE,Mechanical Engineering
209,162,Suresh Gyan Vihar University,Master's degree,Software Engineering
210,162,Suresh Gyan Vihar University,Bachelor's degree,Computer Science
211,163,Guru Gobind Singh Indraprastha University,BTech,Computer Science
212,165,"College of Engineering, Trivandrum",BTech,Computer Science and Engineering
213,165,St Antony's Public School,Class 12,Computer Science
214,165,Navajeevan Bethany Vidyalaya,Class 10  ·,
215,168,Jaypee Institute Of Information Technology,BTech,Computer Science
216,169,Thapar University,BTech,Computer Science
217,170,VIT Vellore,BTech,Computer Science
218,170,Page 1 of,Seth Anandram Jaipuria School,"Kanpur Senior Secondary, ISC"
219,170,"Seth Anandram Jaipuria School, Kanpur",Secondary School,CISCE
220,172,PES University,BTech,Computer science and engineering
221,172,Govt. Pre University College Belgaum,PUC  ·,
222,173,SRM University,BTech,Computer Science
223,174,"Birla Institute of Technology and Science, Pilani",BE,"Computer Science  (June 2014 - July 2018) Birla Institute of Technology and Science, Pilani"
224,175,Page 2 of,BTech,Computer Science
225,175,Urbane Junior College,Senior Secondary Education,Engineering Science
226,175,Delhi Public School Bhilai,High School,CBSE
227,176,National Institute of Technology Rourkela,BTech,
228,179,PSG College of Technology,BE,Computer Science
229,180,The 1% Club,Personal Finance Master,"Personal Finance Mastery  (October 2023 - January 2024) PES University Bachelor of Engineering, Computer Engineering"
230,180,Tashi Namgyal Academy,ISC,science
231,181,"Government College of Engineering and Textile Technology,",BE,Computer Science & Engineering
232,182,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,BTech,Information Technology
233,183,Page 1 of,Andhra University Bachelor’s Degree,Computer Science and Systems Engineering
234,183,Rama Krishna Mission High School,High School,
235,184,International Institute of Information Technology,MTech,Computer Science
236,184,SKIT Jaipur,BTech,Computer Science
237,184,"Birla School ,Pilani",SSCE,Computer Science
